711|2|2|100|#
225|3|2|280|#
225|2|1|50|#
391|4|4|60|#
391|6|2|100|#
581|4|3|45|#
581|3|1|70|#
86|7|1|40|#
86|5|1|60|#
795|8|2|40|#
795|1|1|40|#
326|1|2|80|#
326|2|2|100|#
231|2|2|100|#
231|3|1|70|#
721|1|1|40|#
340|2|1|50|#
811|1|0|40|#
863|1|0|80|#
863|4|0|15|#
48|5|1|60|#
48|3|0|210|#
260|6|3|150|#
726|4|1|15|#
726|7|1|40|#
564|3|2|140|#
564|5|2|120|#
63|3|4|280|#
63|1|5|200|#
436|3|2|140|#
436|7|1|40|#
547|5|1|60|#
619|8|5|20|#

199|8|1|20|#
568|8|2|40|#
689|8|1|20|#
888|8|1|20|#
197|8|1|20|#
259|8|2|40|#
680|3|4|280|#
188|5|3|180|#
351|2|3|150|#
531|4|1|15|#
531|3|1|70|#
815|3|1|70|#
235|3|4|280|#
640|10|2|140|#
826|10|3|210|#
383|4|1|15|#
455|4|2|30|#
164|10|1|70|#
252|10|1|70|#
647|10|1|70|#
286|10|5|350|#
0|1|1|40|#
101|3|4|280|#
415|3|1|70|#
705|3|1|70|#
187|3|1|70|#
609|1|0|0|#
543|2|1|50|#
446|2|3|150|#
518|3|2|140|#
600|3|4|280|#
600|9|2|50|#
330|7|1|40|#
330|8|3|60|#
630|7|1|40|#
630|6|2|100|#
